refsoilID	OTU	soil	sediment	peat	rocky	ag	silt	loam
gi|311066968	4441266	720.0	720.0	1	1	1	1	1
gi|311103224	68617	1819.0	1819.0	1	1	1	1	1
gi|312128809	New.24.CleanUp.ReferenceOTU19391	5.0	5.0	1	1	1	1	1
gi|312137514	4393724	182.0	182.0	1	1	1	1	1
gi|312193897	New.59.CleanUp.ReferenceOTU582834	55.0	55.0	1	1	1	1	1
gi|312794749	3423513	1213.0	1213.0	2.0	1	643.0	10.0	1
gi|313199777	2221290	41.0	41.0	1	1	1	1	1
gi|313202490	575486	7.0	7.0	1	1	1	1	1
gi|315441696	90701	1877.0	1877.0	1	1	1	1	1
gi|315500818	195864	3807.0	3807.0	1	1	1	1	1
gi|315497051	551109	4.0	4.0	1	1	1	1	1
gi|315499382	551109	4.0	4.0	1	1	1	1	1
gi|317126741	4338984	93.0	93.0	1	1	6.0	1	1
gi|317120849	694537	308.0	308.0	1	1	1	1	1
gi|317054731	300143	2.0	2.0	1	1	1	1	1
gi|316931396	62406	70.0	70.0	1	1	1	1	1
gi|317046238	210269	123684.0	123684.0	1	1	1	1	1
gi|317151727	673048	1	1	1	1	1	1	1
gi|319779749	3004649	595.0	595.0	1	1	6.0	5.0	1
gi|319785620	New.59.CleanUp.ReferenceOTU346461	9.0	9.0	1	1	1	1	1
gi|319790694	350563	1971.0	1971.0	1	39.0	1	1	1
gi|320100209	1132905	7.0	7.0	1	1	1	1	1
gi|320352146	New.5.CleanUp.ReferenceOTU529746	2.0	2.0	1	1	1	1	1
gi|322417545	New.59.CleanUp.ReferenceOTU406055	8.0	8.0	1	1	1	1	1
gi|321311376	4441266	720.0	720.0	1	1	1	1	1
gi|322830733	274754	1208794.0	1208794.0	1	1	1	1	1
gi|323524377	New.59.CleanUp.ReferenceOTU454412	2.0	2.0	1	1	1	1	1
gi|323527923	New.59.CleanUp.ReferenceOTU454412	2.0	2.0	1	1	1	1	1
gi|326314823	1120966	67699.0	67699.0	1	15.0	1	4.0	2.0
gi|325961450	56625	35410.0	35410.0	1	1	1	1	1
gi|325282255	New.5.CleanUp.ReferenceOTU446412	6.0	6.0	1	1	1	1	1
gi|325284916	New.11.CleanUp.ReferenceOTU46364	1	1	1	1	1	1	1
gi|325102757	New.24.CleanUp.ReferenceOTU51437	94.0	94.0	1	1	1	1	1
gi|325291453	252822	11568.0	11568.0	1	1	1	1	1
gi|325957759	New.24.CleanUp.ReferenceOTU8910	8.0	8.0	1	1	1	1	1
gi|325980881	3950303	2.0	2.0	1	118.0	1	1	1
gi|328541624	New.42.CleanUp.ReferenceOTU319293	11.0	11.0	1	1	1	1	1
gi|326797444	140230	3.0	3.0	1	1	1	1	1
gi|331693899	1127819	57.0	57.0	1	1	1	1	1
gi|330819133	New.52.CleanUp.ReferenceOTU34443	2.0	2.0	1	1	1	1	1
gi|330806657	264913	38.0	38.0	1	1	1	1	1
gi|330814956	New.52.CleanUp.ReferenceOTU34443	2.0	2.0	1	1	1	1	1
gi|330822653	581921	284.0	284.0	1	1	1	1	1
gi|330831849	4424239	33.0	33.0	1	1	1	1	1
gi|332715374	252822	11568.0	11568.0	1	1	1	1	1
gi|332668532	788268	376.0	376.0	1	1	1	1	2.0
gi|332980605	New.5.CleanUp.ReferenceOTU220978	23.0	23.0	2.0	1	1	1	1
gi|333898208	277094	96.0	96.0	1	1	1	1	1
gi|333911667	4469492	1926.0	1926.0	1	1	1	1	1
gi|333917679	New.42.CleanUp.ReferenceOTU249631	3.0	3.0	1	1	1	1	1
gi|333922237	13912	2.0	2.0	1	1	1	1	1
gi|333924895	274754	1208794.0	1208794.0	1	1	1	1	1
gi|333929848	274754	1208794.0	1208794.0	1	1	1	1	1
gi|333981747	New.13.CleanUp.ReferenceOTU88484	709.0	709.0	1	1	1	1	1
gi|333977506	New.9.CleanUp.ReferenceOTU57299	18.0	18.0	1	1	1	1	1
gi|333992987	New.5.CleanUp.ReferenceOTU182091	13.0	13.0	1	1	1	1	1
gi|333996462	New.5.CleanUp.ReferenceOTU251133	3570.0	3570.0	1	1	1	1	1
gi|334139601	144589	541.0	541.0	1	3.0	1	1	1
gi|334338613	13912	2.0	2.0	1	1	1	1	1
gi|334314770	New.24.CleanUp.ReferenceOTU38683	383.0	383.0	29.0	1	1	1	1
gi|334343657	New.53.CleanUp.ReferenceOTU826098	2.0	2.0	1	1	1	1	1
gi|334342451	New.53.CleanUp.ReferenceOTU826098	2.0	2.0	1	1	1	1	1
gi|336065242	New.1.CleanUp.ReferenceOTU20596	2.0	2.0	1	1	1	1	1
gi|336112679	New.42.CleanUp.ReferenceOTU38675	2.0	2.0	1	1	1	1	1
gi|336115651	4466196	61.0	61.0	1	1	1.0	1	1
gi|337264537	513360	2624.0	2624.0	1	1	1	1	1
gi|336475959	2940299	1	1	1	1	1	1	1
gi|337277607	1120966	67699.0	67699.0	1	15.0	1	4.0	2.0
gi|337289620	4364814	12.0	12.0	1	1	1	1	1
gi|337735209	562096	75.0	75.0	1	1	1	1	1
gi|337744364	New.7.CleanUp.ReferenceOTU279193	4.0	4.0	1	1	1	1	1
gi|337754017	535071	1	1	1	1	1.0	1	1
gi|338729812	New.13.CleanUp.ReferenceOTU383421	1	1	1	1	1	1	1
gi|338736863	239537	3160.0	3160.0	1	1	1	1	1
gi|339321330	61812	20.0	20.0	1	1	1	1	1
gi|339324158	61812	20.0	20.0	1	1	1	1	1
gi|339484941	312988	630.0	630.0	1	1	1	1	1
gi|339490182	299516	3.0	3.0	1	1	1	1	1
gi|339492077	821119	17.0	17.0	1	1	1	1	1
gi|339626328	New.30.CleanUp.ReferenceOTU143226	7.0	7.0	1	1	1	1	1
gi|339630083	264791	378.0	378.0	1	1	1	1	1
gi|340620779	903886	3.0	3.0	1	1	1	1	1
gi|340785197	4445604	3636.0	3636.0	1	1	1	1	1
gi|340792956	4364814	12.0	12.0	1	1	1	1	1
gi|344205421	817926	164.0	164.0	1	9.0	28.0	1	1
gi|344997652	77193	8.0	8.0	1	1	1	1	1
gi|345007964	592398	450.0	450.0	1	1	1	1	1
gi|345297184	210269	123684.0	123684.0	1	1	1	1	1
gi|347534971	960076	18.0	18.0	1	1	1	1	1
gi|347537839	New.5.CleanUp.ReferenceOTU54186	6.0	6.0	1	1	1	1	1
gi|347750441	New.42.CleanUp.ReferenceOTU38675	2.0	2.0	1	1	1	1	1
gi|347753732	3696	3.0	3.0	1	1	1	1	1
gi|347756788	New.19.CleanUp.ReferenceOTU25404	2.0	2.0	1	1	1	1	1
gi|350264100	4441266	720.0	720.0	1	1	1	1	1
gi|352681234	New.33.CleanUp.ReferenceOTU194771	1	1	1	1	1	1	1
gi|357386972	3614443	536.0	536.0	1	1	1	1	1
gi|357397620	826658	168.0	168.0	1	1	1	1	1
gi|357409266	77193	8.0	8.0	1	1	1	1	1
gi|357418851	New.59.CleanUp.ReferenceOTU1240910	5.0	5.0	1	1	1	1	1
gi|386262266	1889810	4726.0	4726.0	1	1	1	1	1
gi|365968300	210269	123684.0	123684.0	1	1	1	1	1
gi|374982757	592398	450.0	450.0	1	1	1	1	1
gi|374992780	4307267	2.0	2.0	1	1	1	1	1
gi|377807392	1144796	3748.0	3748.0	1	1	1	1	1
gi|375133618	584176	38994.0	38994.0	1	9.0	1.0	1	1
gi|375137218	90701	1877.0	1877.0	1	1	1	1	1
gi|375143366	New.59.CleanUp.ReferenceOTU1481861	3.0	3.0	1	1	1	1	1
gi|375256816	950606	15.0	15.0	1	1	1	1	1
gi|372486701	4467400	2169.0	2169.0	4.0	8.0	1	1	1
gi|392380513	New.42.CleanUp.ReferenceOTU326114	5.0	5.0	1	1	1	1	1
gi|374286830	New.13.CleanUp.ReferenceOTU16955	5.0	5.0	1	1	1.0	1	1
gi|374290655	New.42.CleanUp.ReferenceOTU326114	5.0	5.0	1	1	1	1	1
gi|377812245	1144796	3748.0	3748.0	1	1	1	1	1
gi|374298386	New.59.CleanUp.ReferenceOTU1251768	4.0	4.0	1	1	1	1	1
gi|374319880	4428732	1648.0	1648.0	1	1	6.0	1	1
gi|375282101	1532107	106557.0	106557.0	1	1	1	1	1
gi|376264031	1532107	106557.0	106557.0	1	1	1	1	1
gi|375360690	4441266	720.0	720.0	1	1	1	1	1
gi|376256018	650171	16.0	16.0	3.0	5.0	1	1	1
gi|376286528	650171	16.0	16.0	3.0	5.0	1	1	1
gi|376289208	650171	16.0	16.0	3.0	5.0	1	1	1
gi|378775961	New.5.CleanUp.ReferenceOTU328310	21.0	21.0	1	1	1	1	1
gi|378824597	2675752	714.0	714.0	1	1	1	1	1
gi|378764971	4455895	2362.0	2362.0	1	1	1	1	1
gi|379704392	3244896	35.0	35.0	1	1	1	1	1
